label	location
f0dp179	Hebei
f0dp136	Guangxi
f0dp139	Guangxi
f0dp148	Guangxi
f0dp145	Guangxi
f0dp144	Guangxi
f0dp146	Guangxi
f0dp147	Guangxi
f0dp137	Guangxi
f0dp143	Guangxi
f0dp142	Guangxi
f0dp138	Guangxi
f0dp140	Guangxi
f0dp141	Guangxi
f0dp189	Fujian
f0dp159	Hunan
f0dp156	Hunan
f0dp158	Hunan
f0dp157	Hunan
f0dp161	Hunan
f0dp160	Hunan
f0dp94	Guangdong
f0dp188	Guangdong
f0dp53	Guangdong
f0dp177	Vietnam
f0dp166	Hong Kong
f0dp167	Hong Kong
f0dp134	Guangxi
f0dp135	Guangxi
f0dp54	Guangdong
f0dp152	Guangxi
f0dp153	Guangxi
f0dp154	Guangxi
f0dp151	Guangxi
f0dp155	Guangxi
f0dp150	Guangxi
f0dp149	Guangxi
f0dp162	Hunan
f0dp163	Hunan
f0dp30	Guangxi
f0dp50	Henan
f0dp122	Novosibirsk
f0dp128	Mongolia
f0dp120	Novosibirsk
f0dp183	Astrakhan
f0dp184	Astrakhan
f0dp185	Astrakhan
f0dp182	Astrakhan
f0dp131	Mongolia
f0dp129	Mongolia
f0dp130	Mongolia
f0dp125	Novosibirsk
f0dp98	Qinghai
f0dp124	Novosibirsk
f0dp101	Qinghai
f0dp99	Qinghai
f0dp100	Qinghai
f0dp93	Qinghai
f0dp186	Qinghai
f0dp187	Qinghai
f0dp92	Qinghai
f0dp55	Guangdong
f0dp42	Guangdong
f0dp57	Japan
f0dp56	Japan
f0dp60	Japan
f0dp59	Japan
f0dp123	Japan
f0dp58	Japan
f0dp174	Indonesia
f0dp117	Henan
f0dp118	Henan
f0dp169	Indonesia
f0dp172	Indonesia
f0dp171	Indonesia
f0dp170	Indonesia
f0dp173	Indonesia
f0dp49	Henan
f0dp165	Guangdong
f0dp95	Guangdong
f0dp132	Fujian
f0dp133	Fujian
f0dp96	Japan
f0dp164	Guangdong
f0dp91	Henan
f0dp4	Hong Kong
f0dp17	Hong Kong
f0dp16	Hong Kong
f0dp15	Hong Kong
f0dp6	Hong Kong
f0dp13	Hong Kong
f0dp14	Hong Kong
f0dp3	Hong Kong
f0dp12	Hong Kong
f0dp11	Hong Kong
f0dp10	Hong Kong
f0dp21	Hong Kong
f0dp20	Hong Kong
f0dp8	Hong Kong
f0dp9	Hong Kong
f0dp7	Hong Kong
f0dp22	Hong Kong
f0dp19	Hong Kong
f0dp5	Hong Kong
f0dp2	Hong Kong
f0dp1	Hong Kong
f0dp51	Henan
f0dp48	Hunan
f0dp52	Henan
f0dp44	Fujian
f0dp121	Vietnam
f0dp23	Vietnam
f0dp115	Kamphaeng Phet
f0dp116	Kamphaeng Phet
f0dp127	Kamphaeng Phet
f0dp126	Kamphaeng Phet
f0dp175	Vietnam
f0dp45	Vietnam
f0dp70	Phitsanulok
f0dp71	Phitsanulok
f0dp61	Vietnam
f0dp89	Nakon Sawan
f0dp87	Kamphaeng Phet
f0dp88	Nakon Sawan
f0dp90	Kamphaeng Phet
f0dp66	Nakon Sawan
f0dp176	Vietnam
f0dp178	Vietnam
f0dp62	Vietnam
f0dp114	Vietnam
f0dp69	Uthai Than
f0dp81	Kamphaeng Phet
f0dp112	Bangkok
f0dp67	Kamphaeng Phet
f0dp68	Kamphaeng Phet
f0dp65	Phitsanulok
f0dp63	Kamphaeng Phet
f0dp64	Nakon Sawan
f0dp109	Bangkok
f0dp83	Nakon Sawan
f0dp85	Nakon Sawan
f0dp86	Uthai Than
f0dp80	Uthai Than
f0dp107	Bangkok
f0dp111	Bangkok
f0dp106	Nakon Sawan
f0dp110	Bangkok
f0dp108	Bangkok
f0dp102	Bangkok
f0dp104	Bangkok
f0dp113	Nakon Sawan
f0dp73	Uthai Than
f0dp84	Nakon Sawan
f0dp76	Phitsanulok
f0dp78	Nakon Sawan
f0dp82	Phitsanulok
f0dp103	Bangkok
f0dp105	Nakon Sawan
f0dp77	Uthai Than
